Policy Name,Plan Number,Policy Type,Entry Age Range,Maximum Maturity Age,Policy Term,PPT & Modes,Minimum Sum Assured,Maximum Sum Assured,Death Benefit,Survival Benefit,Maturity Benefit,Bonus / Guaranteed Additions,Surrender Value,Paid-up Rules,Revival Rules,Loan Options,Grace Period,Waiting Period,Exclusions,Tax Benefits,Available Riders,Key Advantages,Limitations,Sources
LIC Bima Ratna,764,Non-Par Guaranteed Savings,30 days–55 yrs,70 yrs,15/20/25 yrs,PPT 11/16/21 yrs; Y/HY/Q/M,₹5L,No limit,"125% BSA or 7×AP + Guaranteed Additions","25% BSA twice","50% BSA + GA","Guaranteed Additions","GSV + SSV","Paid-up allowed","Revival 5 yrs","Loan allowed","30/15 days","Risk delayed for minors",Suicide 12 months,80C/10(10D),ADB/AB/Term/PWB,Guaranteed GA + liquidity,High premium,policy_doc_764; brochure_764
LIC Single Premium Endowment Plan,717,Par Single-Premium Endowment,90 days–65 yrs,75 yrs,10–25 yrs,Single Premium Only,₹50,000,No limit,"BSA or 1.25×Single Premium",None,"BSA + Bonuses + FAB","SRB + FAB","GSV from year 1; SSV","No paid-up","Not applicable","Loan after 3 months","Not applicable",None,Suicide 12 months,10(10D),None,Single payment convenience,Bonus variability,policy_doc_717; brochure_717
LIC New Endowment Plan,714,Par Regular Premium Savings,8–55 yrs,75 yrs,12–35 yrs,Reg Premium; Y/HY/Q/M,₹1L,No limit,"125% BSA or 10×AP + Bonuses + FAB",None,"BSA + Bonuses + FAB","SRB + FAB","GSV + SSV","Paid-up after 2 yrs","Revival 5 yrs","Loan after 2 yrs","30/15 days",None,Suicide 12 months,80C/10(10D),ADB/AB/Term,Strong maturity benefit,Long-term lock-in,policy_doc_714; brochure_714
LIC New Jeevan Anand,715,Par Whole-Life + Endowment,18–50 yrs,75 yrs,15–35 yrs,Reg Premium; Y/HY/Q/M,₹2L,No limit,"125% BSA or 7×AP + Bonuses + FAB (during term); BSA after term",None,"BSA + Bonuses + FAB","SRB + FAB","GSV + SSV","Paid-up allowed","Revival 5 yrs","Loan after 1 yr","30/15 days",None,Suicide 12 months,80C/10(10D),ADB/AB/Term/CI,Lifetime cover + maturity,Premiums higher,policy_doc_715; brochure_715
LIC Jeevan Lakshya,733,Par Income Protection Savings,18–50 yrs,65 yrs,13–25 yrs,PPT = Term–3; Y/HY/Q/M,₹2L,No limit,"10% BSA yearly till maturity + 110% BSA + Bonuses",10% BSA yearly (on death),110% BSA + Bonuses + FAB,"SRB + FAB","GSV + SSV","Paid-up allowed","Revival 5 yrs","Loan after 1 yr","30/15 days",None,Suicide 12 months,80C/10(10D),ADB/AB/Term,Strong income protection,High premiums,policy_doc_733; brochure_733
LIC Jeevan Labh,936,Par Limited Premium Endowment,8–59 yrs,75 yrs,16/21/25 yrs,PPT 10/15/16; Y/HY/Q/M,₹2L,No limit,"125% BSA or 7×AP + Bonuses",None,"BSA + SRB + FAB","SRB + FAB","GSV + SSV","Paid-up after 2 yrs","Revival 5 yrs","Loan after 2 yrs","30/15 days",None,Suicide 12 months,80C/10(10D),ADB/AB/Term,High bonuses + limited PPT,Bonus dependence,policy_doc_936; brochure_936
LIC Amritbaal,774,Non-Par Guaranteed Children’s Savings,30 days–13 yrs,18 yrs (vesting),5–20 yrs,PPT 5–20; Y/HY/Q/M,₹2L,No limit,"105% premiums or BSA or 7×AP","None","Guaranteed maturity benefit (variant-based)","Guaranteed Additions","GSV + SSV","Paid-up after 2 yrs","Revival 5 yrs","Loan after 2 yrs","30/15 days","Risk starts at age 8","Suicide 12 months",80C/10(10D),Premium Waiver Rider,Guaranteed returns for child,No bonus upside,policy_doc_774; brochure_774
LIC Bima Jyoti,860,Non-Par Guaranteed Savings,90 days–60 yrs,75 yrs,15–20 yrs,PPT = Term–5; Y/HY/Q/M,₹1L,No limit,"BSA or 7×AP or 105% premiums",None,"BSA + Guaranteed Additions","GA ₹50 per 1000 SA","GSV + SSV","Paid-up after 2 yrs","Revival 5 yrs","Loan after 2 yrs","30/15 days",None,Suicide 12 months,80C/10(10D),ADB/AB/Term,Guaranteed GA,Slightly higher premiums,policy_doc_760; brochure_760
LIC Jeevan Azad,868,Non-Par Guaranteed Limited Premium Endowment,30 days–50 yrs,70 yrs,15–20 yrs,PPT = Term–8; Y/HY/Q/M,₹2L,₹5L,"BSA or 7×AP (≥105% premiums)",None,"Guaranteed BSA","No bonuses","GSV + SSV","Paid-up after 1 yr","Revival 5 yrs","Loan after 1 yr","30/15 days","Risk starts at 8 yrs","Suicide 12 months",80C/10(10D),ADB/AB/PWB,Guaranteed maturity,Max SA capped at ₹5L,policy_doc_768; brochure_768
LIC Nav Jeevan Shree,912,Par Regular Premium Endowment,90 days–55 yrs,70 yrs,15–25 yrs,PPT = Term–5; Y/HY/Q/M,₹1L,No limit,"125% BSA or 7×AP + Bonuses",None,"BSA + SRB + FAB","SRB + FAB","GSV + SSV","Paid-up after 2 yrs","Revival 5 yrs","Loan after 2 yrs","30/15 days",None,Suicide 12 months,80C/10(10D),ADB/AB/Term,High bonuses + limited PPT,Bonus variability,policy_doc_912; brochure_912
LIC Nav Jeevan Shree Single Premium,911,Par Single-Premium Endowment,90 days–65 yrs,75 yrs,10–25 yrs,Single Premium,₹50,000,No limit,"BSA or 1.25×Single Premium",None,"BSA + Bonuses + FAB","SRB + FAB","GSV from year 1; SSV","Not applicable","Not applicable","Loan after 3 months","Not applicable",None,Suicide 12 months,10(10D),None,Single premium convenience,No bonus guarantee,policy_doc_911; brochure_911
LIC Bima Lakshmi,881,Non-Par Guaranteed Savings for Women,18–50 yrs,25 yrs fixed,25 yrs,PPT 7–15 yrs; Y/HY/Q/M,₹2L,No limit,"BSA or 10×AP + Guaranteed Additions","Option A/B/C schedules","BSA + Guaranteed Additions","Guaranteed Additions (7% + incentives)","GSV + SSV","Paid-up after 1 yr","Revival 5 yrs","Loan after 1 yr","30/15 days",None,Suicide 12 months,80C/10(10D),ADB/AB/Term/Female CI,Guaranteed additions + SB options,Premium higher than par plans,policy_doc_881; brochure_881
