policy_id,category,dob,gender,smoker_status,sum_assured,sum_assured_type,policy_term,premium_payment_option,ppt,distribution_channel,single_premium,yearly_premium,scraped_date,source,notes
954,term_assurance,15/01/2001,male,non_smoker,5000000,level,35,regular,35,online,,6250,2026-08-11,LIC live online quote calculator,age 25 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/2001,male,non_smoker,5000000,level,40,regular,40,online,,7050,2026-08-11,LIC live online quote calculator,age 25 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/1996,male,non_smoker,5000000,level,10,regular,10,online,,4400,2026-08-11,LIC live online quote calculator,age 30 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/1996,male,non_smoker,5000000,level,15,regular,15,online,,4700,2026-08-11,LIC live online quote calculator,age 30 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/1996,male,non_smoker,5000000,level,20,regular,20,online,,5250,2026-08-11,LIC live online quote calculator,age 30 confirmed via dob;PPT assumed = PT (regular premium);matches 2026-08-10 spot-check exactly
954,term_assurance,15/01/1996,male,non_smoker,5000000,level,25,regular,25,online,,6050,2026-08-11,LIC live online quote calculator,age 30 confirmed via dob;PPT assumed = PT (regular premium);matches 2026-08-10 spot-check exactly
954,term_assurance,15/01/1996,male,non_smoker,5000000,level,30,regular,30,online,,7100,2026-08-11,LIC live online quote calculator,age 30 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/1996,male,non_smoker,5000000,level,35,regular,35,online,,8150,2026-08-11,LIC live online quote calculator,age 30 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/1981,male,non_smoker,5000000,level,20,regular,20,online,,14800,2026-08-10,LIC live online quote calculator,age 45 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/1981,male,non_smoker,5000000,level,25,regular,25,online,,17300,2026-08-10,LIC live online quote calculator,age 45 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/1966,male,non_smoker,5000000,level,20,regular,20,online,,47800,2026-08-10,LIC live online quote calculator,age 60 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/1996,male,non_smoker,5000000,level,40,regular,40,online,,9250,2026-08-11,LIC live online quote calculator,age 30 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/1991,male,non_smoker,5000000,level,10,regular,10,online,,5300,2026-08-11,LIC live online quote calculator,age 35 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/1991,male,non_smoker,5000000,level,15,regular,15,online,,5950,2026-08-11,LIC live online quote calculator,age 35 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/1991,male,non_smoker,5000000,level,20,regular,20,online,,7000,2026-08-11,LIC live online quote calculator,age 35 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/1991,male,non_smoker,5000000,level,25,regular,25,online,,8300,2026-08-11,LIC live online quote calculator,age 35 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/1991,male,non_smoker,5000000,level,30,regular,30,online,,9700,2026-08-11,LIC live online quote calculator,age 35 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/1991,male,non_smoker,5000000,level,35,regular,35,online,,11150,2026-08-11,LIC live online quote calculator,age 35 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/1991,male,non_smoker,5000000,level,40,regular,40,online,,12800,2026-08-11,LIC live online quote calculator,age 35 confirmed via dob;PPT assumed = PT (regular premium)
