policy_id,category,dob,gender,smoker_status,sum_assured,sum_assured_type,policy_term,premium_payment_option,ppt,distribution_channel,single_premium,yearly_premium,scraped_date,source,notes
859,term_assurance,15/01/2001,male,non_smoker,500000,level,40,regular,40,offline,,2775,2026-08-08,LIC live online quote calculator,age 25 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1996,male,non_smoker,500000,level,5,regular,5,offline,,1895,2026-08-08,LIC live online quote calculator,age 30 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1996,male,non_smoker,500000,level,10,regular,10,offline,,1795,2026-08-08,LIC live online quote calculator,age 30 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1996,male,non_smoker,500000,level,15,regular,15,offline,,1900,2026-08-08,LIC live online quote calculator,age 30 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1996,male,non_smoker,500000,level,20,regular,20,offline,,2095,2026-08-08,LIC live online quote calculator,age 30 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1996,male,non_smoker,500000,level,25,regular,25,offline,,2385,2026-08-08,LIC live online quote calculator,age 30 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1996,male,non_smoker,500000,level,30,regular,30,offline,,2735,2026-08-08,LIC live online quote calculator,age 30 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1996,male,non_smoker,500000,level,35,regular,35,offline,,3095,2026-08-08,LIC live online quote calculator,age 30 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1996,male,non_smoker,500000,level,40,regular,40,offline,,3460,2026-08-08,LIC live online quote calculator,age 30 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1991,male,non_smoker,500000,level,5,regular,5,offline,,2095,2026-08-08,LIC live online quote calculator,age 35 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1991,male,non_smoker,500000,level,10,regular,10,offline,,2080,2026-08-08,LIC live online quote calculator,age 35 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1991,male,non_smoker,500000,level,15,regular,15,offline,,2305,2026-08-08,LIC live online quote calculator,age 35 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1991,male,non_smoker,500000,level,20,regular,20,offline,,2665,2026-08-08,LIC live online quote calculator,age 35 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1991,male,non_smoker,500000,level,25,regular,25,offline,,3105,2026-08-08,LIC live online quote calculator,age 35 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1991,male,non_smoker,500000,level,30,regular,30,offline,,3560,2026-08-08,LIC live online quote calculator,age 35 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1991,male,non_smoker,500000,level,35,regular,35,offline,,4030,2026-08-08,LIC live online quote calculator,age 35 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1986,male,non_smoker,500000,level,5,regular,5,offline,,2490,2026-08-08,LIC live online quote calculator,age 40 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1986,male,non_smoker,500000,level,10,regular,10,offline,,2640,2026-08-08,LIC live online quote calculator,age 40 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1986,male,non_smoker,500000,level,15,regular,15,offline,,3095,2026-08-08,LIC live online quote calculator,age 40 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1986,male,non_smoker,500000,level,20,regular,20,offline,,3650,2026-08-08,LIC live online quote calculator,age 40 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1986,male,non_smoker,500000,level,25,regular,25,offline,,4220,2026-08-08,LIC live online quote calculator,age 40 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1986,male,non_smoker,500000,level,30,regular,30,offline,,4815,2026-08-08,LIC live online quote calculator,age 40 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1981,male,non_smoker,500000,level,5,regular,5,offline,,3260,2026-08-08,LIC live online quote calculator,age 45 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1981,male,non_smoker,500000,level,10,regular,10,offline,,3730,2026-08-08,LIC live online quote calculator,age 45 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1981,male,non_smoker,500000,level,15,regular,15,offline,,4430,2026-08-08,LIC live online quote calculator,age 45 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1981,male,non_smoker,500000,level,20,regular,20,offline,,5135,2026-08-08,LIC live online quote calculator,age 45 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1981,male,non_smoker,500000,level,25,regular,25,offline,,5880,2026-08-08,LIC live online quote calculator,age 45 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1976,male,non_smoker,500000,level,5,regular,5,offline,,4755,2026-08-08,LIC live online quote calculator,age 50 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1976,male,non_smoker,500000,level,10,regular,10,offline,,5505,2026-08-08,LIC live online quote calculator,age 50 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1976,male,non_smoker,500000,level,15,regular,15,offline,,6375,2026-08-08,LIC live online quote calculator,age 50 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1976,male,non_smoker,500000,level,20,regular,20,offline,,7290,2026-08-08,LIC live online quote calculator,age 50 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1971,male,non_smoker,500000,level,5,regular,5,offline,,6885,2026-08-08,LIC live online quote calculator,age 55 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1971,male,non_smoker,500000,level,10,regular,10,offline,,7810,2026-08-08,LIC live online quote calculator,age 55 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1971,male,non_smoker,500000,level,15,regular,15,offline,,8985,2026-08-08,LIC live online quote calculator,age 55 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1966,male,non_smoker,500000,level,5,regular,5,offline,,9400,2026-08-08,LIC live online quote calculator,age 60 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1966,male,non_smoker,500000,level,10,regular,10,offline,,10835,2026-08-08,LIC live online quote calculator,age 60 confirmed via dob;PPT assumed = PT (regular premium)
859,term_assurance,15/01/1961,male,non_smoker,500000,level,5,regular,5,offline,,13110,2026-08-08,LIC live online quote calculator,age 65 confirmed via dob;PPT assumed = PT (regular premium)
